"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@RailMinIndia 
This is to bring to your notice that, Rajasthan Police is taking a HandCuffed person along with them  ","2018-07-29 11:56:27","FALSE","0","0","-1","Transportation","Rajasthan","India",FALSE
"2","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-29 09:22:39","TRUE","382","0","-1","Transportation","Rajasthan","India",FALSE
"3","@RailwaySeva @Roopnauhwar @drmlko25 Photo taregna GRP taregna ka Bagal ka hai Humne bhejne Wale Ko koi bhi train Aa  ","2018-07-29 09:05:24","FALSE","0","1","-1","Transportation","Rajasthan","India",FALSE
"4","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-29 07:36:00","TRUE","382","0","0","Transportation","Rajasthan","India",TRUE
"5","@GoyalsRail old age reservation from mumbai to kota rajasthan all have senior citizen but all seat allotted to them  ","2018-07-29 06:00:21","FALSE","0","1","-1","Transportation","Rajasthan","India",FALSE
"6","@Dev_Fadnav old age reservation from mumbai to kota rajasthan all have senior citizen but all seat allotted to them  ","2018-07-29 05:56:43","FALSE","0","0","3","Transportation","Rajasthan","India",FALSE
"7","@GoyalsRail old age reservation from mumbai to kota rajasthan all have senior citizen but all seat allotted to them  ","2018-07-29 05:51:08","FALSE","0","0","1","Transportation","Rajasthan","India",TRUE
"8","@PiyushGoyalOff
old age reservation from mumbai to kota rajasthan all have senior citizen but all seat allotted to  ","2018-07-29 05:48:41","FALSE","0","0","1","Transportation","Rajasthan","India",FALSE
"9","@GoyalsRail old age reservation from mumbai to kota rajasthan all have senior citizen but all seat allotted to them  ","2018-07-29 05:46:44","FALSE","0","0","0","Transportation","Rajasthan","India",TRUE
"10","@SushmaS
Aold age reservation from mumbai to kota rajasthan all have senior citizen but all seat allotted to them i  ","2018-07-29 05:43:19","FALSE","0","0","1","Transportation","Rajasthan","India",FALSE
"11","@narendramod old age reservation from mumbai to kota rajasthan all have senior citizen but all seat allotted to the  ","2018-07-29 05:42:06","FALSE","0","0","1","Transportation","Rajasthan","India",FALSE
"12","RT @Jaideep46609483: Double deckers AC not working in train 12985 i am travelling from JAIPUR to GURGAON but train AC not working from JAIP","2018-07-29 01:09:40","TRUE","1","0","-2","Transportation","Rajasthan","India",FALSE
"13","Double deckers AC not working in train 12985 i am travelling from JAIPUR to GURGAON but train AC not working from J  ","2018-07-29 00:58:16","FALSE","1","0","1","Transportation","Rajasthan","India",FALSE
"14","RT @VisakhapatnamJn: @Ra_THORe @PiyushGoyalOffc @PiyushGoyal @RailMinIndia Request Hon'ble Minister to consider a direct train from Rajasth","2018-07-28 17:20:11","TRUE","6","0","0","Transportation","Rajasthan","India",FALSE
"15","RT @VisakhapatnamJn: @Ra_THORe @PiyushGoyalOffc @PiyushGoyal @RailMinIndia Request Hon'ble Minister to consider a direct train from Rajasth","2018-07-28 17:18:46","TRUE","6","0","1","Transportation","Rajasthan","India",TRUE
"16","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-28 14:19:00","TRUE","382","0","1","Transportation","Rajasthan","India",TRUE
"17","@KTRTRS Good one now Telangana joined the list of other states with Rajasthan, Kerala, Karnataka, Mysuru, Bihar, P  ","2018-07-28 14:01:47","FALSE","0","0","0","Transportation","Rajasthan","India",FALSE
"18","@vinodboianpalli @trspartyonline @PMOIndia @TelanganaCMO @KTRTRS Good one now Telangana joined the list of other s  ","2018-07-28 14:00:10","FALSE","0","1","1","Transportation","Rajasthan","India",FALSE
"19","RT @VisakhapatnamJn: @Ra_THORe @PiyushGoyalOffc @PiyushGoyal @RailMinIndia Request Hon'ble Minister to consider a direct train from Rajasth","2018-07-28 13:00:25","TRUE","6","0","1","Transportation","Rajasthan","India",TRUE
"20","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-28 11:49:44","TRUE","382","0","0","Transportation","Rajasthan","India",TRUE
"21","RT @VisakhapatnamJn: @Ra_THORe @PiyushGoyalOffc @PiyushGoyal @RailMinIndia Request Hon'ble Minister to consider a direct train from Rajasth","2018-07-28 11:34:29","TRUE","6","0","0","Transportation","Rajasthan","India",TRUE
"22","RT @VisakhapatnamJn: @Ra_THORe @PiyushGoyalOffc @PiyushGoyal @RailMinIndia Request Hon'ble Minister to consider a direct train from Rajasth","2018-07-28 10:58:55","TRUE","6","0","1","Transportation","Rajasthan","India",TRUE
"23","RT @VisakhapatnamJn: @Ra_THORe @PiyushGoyalOffc @PiyushGoyal @RailMinIndia Request Hon'ble Minister to consider a direct train from Rajasth","2018-07-28 10:05:47","TRUE","6","0","0","Transportation","Rajasthan","India",TRUE
"24","@Ra_THORe @PiyushGoyalOffc @PiyushGoyal @RailMinIndia Request Hon'ble Minister to consider a direct train from Raja  ","2018-07-28 09:57:40","FALSE","6","6","1","Transportation","Rajasthan","India",FALSE
"25","""        ,  ""  -  ","2018-07-28 07:19:50","FALSE","0","2","0","Transportation","Rajasthan","India",FALSE
"26","@PiyushGoyalOffc mr railway minister ji ..we wait many time of rrb alp exam and at list it started soon sir i am ra  ","2018-07-28 04:29:59","FALSE","0","0","0","Transportation","Rajasthan","India",FALSE
"27","old age parent reservation from mumbai to kota rajasthan all have senior citizen but all seat allotted to them is u  ","2018-07-28 03:40:34","FALSE","0","2","1","Transportation","Rajasthan","India",FALSE
"28","Reminds me of the Islamic Call to prayer except much better.The Horseflies play ""Last Train To Rajasthan"" at the Gr  ","2018-07-28 03:39:48","FALSE","0","1","1","Transportation","Rajasthan","India",FALSE
"29","old age reservation from mumbai to kota rajasthan all have senior citizen but all seat allotted to them is upper bi  ","2018-07-28 03:38:45","FALSE","0","2","1","Transportation","Rajasthan","India",FALSE
"30","@RailMinIndia 
 Old age reservation from mumbai to kota rajasthan all have senior citizen but all seat allotted to  ","2018-07-28 03:37:12","FALSE","0","2","1","Transportation","Rajasthan","India",FALSE
"31","@GoyalsRail old age reservation from mumbai to kota rajasthan all have senior citizen but all seat allotted to them  ","2018-07-28 03:30:07","FALSE","0","2","1","Transportation","Rajasthan","India",TRUE
"32","       ,     ,    dausa Rajasthan
 ","2018-07-27 17:50:00","FALSE","0","11","0","Transportation","Rajasthan","India",FALSE
"33","RT @Renuka18737495: @PiyushGoyal sir i m facing problem of drinking of alcohol by pasenger in train no.19718 chandigarh jaipur intercity ex","2018-07-27 16:27:38","TRUE","1","0","0","Transportation","Rajasthan","India",FALSE
"34","@PiyushGoyal sir i m facing problem of drinking of alcohol by pasenger in train no.19718 chandigarh jaipur intercit  ","2018-07-27 16:23:55","FALSE","1","1","0","Transportation","Rajasthan","India",FALSE
"35","@PiyushGoyal sir i m facing problem of drinking of alcohol by pasenger in train no.19718 chandigarh jaipur intercit  ","2018-07-27 16:11:11","FALSE","0","0","0","Transportation","Rajasthan","India",TRUE
"36","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-27 15:28:31","TRUE","382","0","1","Transportation","Rajasthan","India",TRUE
"37","On va tenter un truc, live-tweet de New Delhi  Udaipur (la cit des lacs, la Venise de l'est), voyage en train, il  ","2018-07-27 14:00:13","FALSE","0","1","0","Transportation","Rajasthan","India",FALSE
"38","GuruPurnima  goverdhan       ,     ,   alwar  ","2018-07-27 13:30:01","FALSE","0","6","-2","Transportation","Rajasthan","India",FALSE
"39","En train de dprir dans mon appart o il fait 35 degrs, je me souviens avec motion qu'il y a 10 ans, en plein t  ","2018-07-26 20:38:24","FALSE","2","39","0","Transportation","Rajasthan","India",FALSE
"40","RT @Gorillas_Org: Highs of 34C in the Capital: UK Weather Hotter than India!

TILONIA, RAJASTHAN, INDIA, 32C. The Gorilla Organization has","2018-07-26 18:21:17","TRUE","5","0","0","Transportation","Rajasthan","India",FALSE
"41","RT @Gorillas_Org: Highs of 34C in the Capital: UK Weather Hotter than India!

TILONIA, RAJASTHAN, INDIA, 32C. The Gorilla Organization has","2018-07-26 17:49:53","TRUE","5","0","0","Transportation","Rajasthan","India",TRUE
"42","RT @rishibagree: 2002 riots was started by a Congress leader in Godhra when a muslim mob led by him burnt 70 Hindus alive in a train 

Also","2018-07-26 17:15:59","TRUE","382","0","0","Transportation","Rajasthan","India",TRUE
"43","RT @Gorillas_Org: Highs of 34C in the Capital: UK Weather Hotter than India!

TILONIA, RAJASTHAN, INDIA, 32C. The Gorilla Organization has","2018-07-26 16:41:56","TRUE","5","0","0","Transportation","Rajasthan","India",TRUE
"44","RT @Gorillas_Org: Highs of 34C in the Capital: UK Weather Hotter than India!

TILONIA, RAJASTHAN, INDIA, 32C. The Gorilla Organization has","2018-07-26 16:23:01","TRUE","5","0","-1","Transportation","Rajasthan","India",TRUE
