"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @tarunagra1984:        ,         ","2018-07-29 13:07:03","TRUE","2","0","-1","Transportation","Uttar Pradesh","India",FALSE
"2","RT @tarunagra1984:        ,         ","2018-07-29 12:24:47","TRUE","2","0","-1","Transportation","Uttar Pradesh","India",TRUE
"3","       ,         ","2018-07-29 12:23:32","FALSE","2","4","-1","Transportation","Uttar Pradesh","India",FALSE
"4","RT @Live_Hindustan:        ,       
 ","2018-07-29 09:24:59","TRUE","8","0","0","Transportation","Uttar Pradesh","India",FALSE
"5"," ","2018-07-29 06:48:35","FALSE","0","0","-1","Transportation","Uttar Pradesh","India",FALSE
"6","RT @Live_Hindustan:        ,       
 ","2018-07-29 05:51:15","TRUE","8","0","3","Transportation","Uttar Pradesh","India",TRUE
"7","RT @Live_Hindustan:        ,       
 ","2018-07-29 04:27:19","TRUE","8","0","1","Transportation","Uttar Pradesh","India",TRUE
"8","RT @Live_Hindustan:        ,       
 ","2018-07-29 04:05:54","TRUE","8","0","1","Transportation","Uttar Pradesh","India",TRUE
"9","RT @Live_Hindustan:        ,       
 ","2018-07-29 04:04:44","TRUE","8","0","0","Transportation","Uttar Pradesh","India",TRUE
"10","RT @Live_Hindustan:        ,       
 ","2018-07-29 03:59:04","TRUE","8","0","1","Transportation","Uttar Pradesh","India",TRUE
"11","       ,       
 ","2018-07-29 03:43:26","FALSE","8","39","1","Transportation","Uttar Pradesh","India",FALSE
"12","  !

 Uttar_Pradesh_Roads_Transport @ Faizabad, Uttar Pradesh  ","2018-07-25 04:07:51","FALSE","0","0","-2","Transportation","Uttar Pradesh","India",FALSE
"13","@narendramodi sir need some help in Uttar Pradesh Janupur district about transport facility we are student and unab  ","2018-07-24 13:50:55","FALSE","0","0","1","Transportation","Uttar Pradesh","India",FALSE
"14","Shri Digamber Jain Bada Mandir, Sardhana, District-Meerut (Uttar Pradesh)
Sardhana is a town and a municipal board  ","2018-07-24 12:06:13","FALSE","1","8","0","Transportation","Uttar Pradesh","India",FALSE
"15","Retweeted NBT Uttar Pradesh (@UPNBT):

     ' ' , 200     ,    ","2018-07-22 12:50:28","FALSE","0","0","1","Transportation","Uttar Pradesh","India",FALSE
"16"," ","2018-07-21 17:04:46","FALSE","0","2","1","Transportation","Uttar Pradesh","India",TRUE
"17","       50           
 ","2018-07-21 15:08:36","FALSE","1","1","0","Transportation","Uttar Pradesh","India",FALSE
