"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","   ","2018-07-29 09:57:00","FALSE","0","0","-1","Transportation","Uttar Pradesh","India",FALSE
"2","RT @IndianExpress: Modi in Uttar Pradesh LIVE: PM arrives at Lucknow airport. He was received by Uttar Pradesh Chief Minister Yogi Adityana","2018-07-29 09:32:52","TRUE","2","0","-1","Transportation","Uttar Pradesh","India",FALSE
"3","The Prime Minister of Uttar Pradesh greeting Foreign minister Of India at the Lucknow airport.  ","2018-07-29 07:58:33","FALSE","0","2","-1","Transportation","Uttar Pradesh","India",FALSE
"4","RT @IndianExpress: Modi in Uttar Pradesh LIVE: PM arrives at Lucknow airport. He was received by Uttar Pradesh Chief Minister Yogi Adityana","2018-07-29 07:20:38","TRUE","2","0","0","Transportation","Uttar Pradesh","India",TRUE
"5","Modi in Uttar Pradesh LIVE: PM arrives at Lucknow airport. He was received by Uttar Pradesh Chief Minister Yogi Adi  ","2018-07-29 07:00:03","FALSE","0","0","-1","Transportation","Uttar Pradesh","India",FALSE
"6","Modi in Uttar Pradesh LIVE: PM arrives at Lucknow airport. He was received by Uttar Pradesh Chief Minister Yogi Adi  ","2018-07-29 06:52:23","FALSE","2","38","3","Transportation","Uttar Pradesh","India",TRUE
"7","RT @LegalKant: Kanpur of UttarPradesh can emerge as north Indian industrial hub of rapid rail and metro system of @CMOfficeUP under @myog","2018-07-29 03:31:31","TRUE","1","0","1","Transportation","Uttar Pradesh","India",FALSE
"8","RT @Shagunnewsindia:    ","2018-07-28 16:33:35","TRUE","1","0","1","Transportation","Uttar Pradesh","India",FALSE
"9","   ","2018-07-28 16:17:58","FALSE","1","0","0","Transportation","Uttar Pradesh","India",TRUE
"10","Lucknow  traveling to Lucknow, Uttar Pradesh from Devi Ahilya Bai Holkar Airport  ","2018-07-28 16:17:25","FALSE","0","1","1","Transportation","Uttar Pradesh","India",FALSE
"11","Way to Lucknow to attend First Ground Breaking Ceremony of Government of Uttar Pradesh. 

bjp4india profdineshsha  ","2018-07-28 15:38:50","FALSE","0","1","1","Transportation","Uttar Pradesh","India",FALSE
"12","Way to Lucknow to attend Ground Breaking Ceremony of Government of Uttar Pradesh.  travelling to Lucknow, Uttar  ","2018-07-28 15:28:58","FALSE","0","2","-2","Transportation","Uttar Pradesh","India",FALSE
"13","Kanpur of UttarPradesh can emerge as north Indian industrial hub of rapid rail and metro system of @CMOfficeUP un  ","2018-07-28 12:02:26","FALSE","1","2","1","Transportation","Uttar Pradesh","India",FALSE
"14","RT @anuragkjain: Textile park planned near Jewar airport in Uttar Pradesh  ","2018-07-28 10:52:53","TRUE","1","0","0","Transportation","Uttar Pradesh","India",FALSE
"15","Textile park planned near Jewar airport in Uttar Pradesh  ","2018-07-28 08:32:33","FALSE","1","2","1","Transportation","Uttar Pradesh","India",FALSE
"16","RT @WeUttarPradesh:  @narendramodi               ","2018-07-25 11:27:54","TRUE","3","0","1","Transportation","Uttar Pradesh","India",FALSE
"17","RT @WeUttarPradesh:  @narendramodi               ","2018-07-25 11:22:44","TRUE","3","0","0","Transportation","Uttar Pradesh","India",TRUE
"18","RT @WeUttarPradesh:  @narendramodi               ","2018-07-25 11:22:31","TRUE","3","0","1","Transportation","Uttar Pradesh","India",TRUE
"19"," @narendramodi               ","2018-07-25 11:21:53","FALSE","3","14","1","Transportation","Uttar Pradesh","India",FALSE
