"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@svaradarajan Sir, Maha Kavi Barathi only wrote a letter to Aurobindo Gosh who was in West Bengal, invited him to P  ","2018-07-29 05:14:40","FALSE","0","0","-1","Transportation","West Bengal","India",FALSE
"2","RT @anirrbanghosh: @republic Prof Chatterjee is typically talking like a frog in the well (read West Bengal). These kind of Kolkata people","2018-07-26 17:44:05","TRUE","1","0","-1","Transportation","West Bengal","India",FALSE
"3","@republic Prof Chatterjee is typically talking like a frog in the well (read West Bengal). These kind of Kolkata pe  ","2018-07-26 17:12:54","FALSE","1","1","-1","Transportation","West Bengal","India",FALSE
"4","RT @Cpadpc: Rally for ""Safe Drive Save Life"" Organized by Asansol Durgapur Police Commissionerate on 24.07.2018 from Polo Ground Asansol in","2018-07-26 16:32:28","TRUE","1","0","0","Transportation","West Bengal","India",FALSE
"5","THE STATE OUR WEST BENGAL HAVE FACED TODAY CONTINUOUS AND HEAVY RAINFALLS PARALYSING SEVERLY THE  ","2018-07-26 11:24:29","FALSE","0","0","-1","Transportation","West Bengal","India",FALSE
"6","Rally for ""Safe Drive Save Life"" Organized by Asansol Durgapur Police Commissionerate on 24.07.2018 from Polo Groun  ","2018-07-25 09:14:15","FALSE","0","4","3","Transportation","West Bengal","India",FALSE
"7","Rally for ""Safe Drive Save Life"" Organized by Asansol Durgapur Police Commissionerate on 24.07.2018 from Polo Groun  ","2018-07-25 09:14:11","FALSE","0","5","1","Transportation","West Bengal","India",TRUE
"8","Rally for ""Safe Drive Save Life"" Organized by Asansol Durgapur Police Commissionerate on 24.07.2018 from Polo Groun  ","2018-07-25 09:14:09","FALSE","1","8","1","Transportation","West Bengal","India",TRUE
"9","We can cut up to 50% Ranchi traffic problem with honest approach and taking West Bengal traffic control system .","2018-07-24 14:08:05","FALSE","0","0","0","Transportation","West Bengal","India",FALSE
"10","RT @16Scmanish: Follow traffic rules or face Yamraj at police station in West Bengal  ","2018-07-24 05:44:07","TRUE","1","0","1","Transportation","West Bengal","India",FALSE
"11","Follow traffic rules or face Yamraj at police station in West Bengal  ","2018-07-24 04:45:20","FALSE","1","0","1","Transportation","West Bengal","India",FALSE
"12","           ''  ","2018-07-23 13:56:35","FALSE","0","7","-2","Transportation","West Bengal","India",FALSE
"13","       ...!! LordYamaraj WestBengal  ","2018-07-23 10:38:26","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"14"," ","2018-07-23 07:07:05","FALSE","0","1","0","Transportation","West Bengal","India",FALSE
"15"," !       ","2018-07-23 06:34:02","FALSE","0","0","1","Transportation","West Bengal","India",FALSE
"16","Road traffic......""

 Location:
     Diamond Harbour-743331, River        
     side , West Bengal, India.  ","2018-07-21 15:18:10","FALSE","0","1","1","Transportation","West Bengal","India",FALSE
"17","Undeclared BANDH in West Bengal today.
All Traffic stranded.
No movement..
21st July.
@ShefVaidya @AskAnshul @AsYouNotWish @Shubhrastha","2018-07-21 04:37:47","FALSE","0","0","0","Transportation","West Bengal","India",FALSE
"18","Six ivory pieces weighing around 9.08kg, were seized from two men while they were being brought to Kolkata from Si  ","2018-07-20 05:27:26","FALSE","8","5","1","Transportation","West Bengal","India",FALSE
