"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@thekiranbedi 
I came by bus from Bangalore(Karnataka) to Vijayawada(Andhra Pradesh)
Bus number is in screen shot
P  ","2018-07-28 04:05:11","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
"2","Andhra lo naa first bus teregendhe 
Kani modi matram tragadaneke bus kavali  ","2018-07-26 15:33:30","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
"3","@jaganreddy85 @Saikiran_jalsa Haha keka appatlo ts udyamam time lo nenu bus stop lo nilabadappudu 2 andhra ppl disco ippatiki gurtundi","2018-07-26 05:25:17","FALSE","0","3","0","Transportation","Andhra Pradesh","India",FALSE
"4","@RohanKhaunte Kudos to you and your team for your initiative to make Goa a IT hub. Goa had missed the IT bus when I  ","2018-07-25 17:55:13","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
"5","RT @Varmasgirl: RENOVATION OF BUS STANDS USED BY MILLIONS OF PEOPLE.
ANDHRA PRADESH STOOD NO.1 IN INCREASE IN FOREST COVER.
Andhra Pradesh","2018-07-25 06:06:01","TRUE","18","0","0","Transportation","Andhra Pradesh","India",FALSE
"6","RT @TOICitiesNews: Vijayawada: Police detains YSR Congress Party workers who were staging protest outside Pandit Nehru bus station, over th","2018-07-24 05:04:34","TRUE","1","0","-1","Transportation","Andhra Pradesh","India",FALSE
"7","Vijayawada: Police detains YSR Congress Party workers who were staging protest outside Pandit Nehru bus station, ov  ","2018-07-24 02:56:47","FALSE","1","1","-1","Transportation","Andhra Pradesh","India",FALSE
"8","In Apsrtc cargo one of the booked one parcel to ongole they paid 60rupees including hamaly charges. But again they  ","2018-07-23 09:19:14","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
"9","APSRTC Rented bus owners  has met MLC of North Andhra&amp; this MLC is acting as a mediator between bus owners&amp;North An  ","2018-07-23 06:47:29","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
"10","Today: Some youth from New Orleans, Chicago, and Oakland, taught a youth from Mumbai the Cupid Shuffle on a bus pas  ","2018-07-21 14:24:43","FALSE","0","1","0","Transportation","Andhra Pradesh","India",FALSE
"11","@indiatvnews Tu tho ag gyo thakur...tere ko andhra ke log cm se uattarenge...2019 me sabak shikhayenge...Tumne aand  ","2018-07-21 07:13:56","FALSE","0","1","0","Transportation","Andhra Pradesh","India",FALSE
"12","@sagarikaghose @JaiTDP @PMOIndia just ascertain who is great actor ?  ","2018-07-21 06:51:42","FALSE","0","0","1","Transportation","Andhra Pradesh","India",FALSE
"13","@alok_bhatt He is the owner of Kesineni Travels and controls the Private Bus Syndicate in Andhra Pradesh","2018-07-20 17:25:47","FALSE","0","4","0","Transportation","Andhra Pradesh","India",FALSE
"14","GEOCODE: Bharatiya Vidya Bhavan School Bus Stop, Road Number 82, Film Nagar, Hyderabad, Andhra Pradesh 500033, India  ","2018-07-19 12:30:28","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
"15","RT @Varmasgirl: RENOVATION OF BUS STANDS USED BY MILLIONS OF PEOPLE.
ANDHRA PRADESH STOOD NO.1 IN INCREASE IN FOREST COVER.
Andhra Pradesh","2018-07-19 10:15:03","TRUE","18","0","0","Transportation","Andhra Pradesh","India",TRUE
"16","@PrakashJavdekar @narendramodi @PIB_India Good morning sir 
In Andhra Pradesh,Nellore KendriyaVidyalaya has poor ac  ","2018-07-19 04:06:27","FALSE","0","0","0","Transportation","Andhra Pradesh","India",FALSE
