"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @tongamrina: @KirenRijiju  11  years of assurances by the centre for an airport! Remember the foundation was laid in 2007 statehood day.","2018-07-23 05:27:49","TRUE","4","0","1","Transportation","Arunachal Pradesh","India",FALSE
"2","RT @PemaKhanduBJP: Always a pleasure meeting Shri @piyushgoyal ji. Discussed matter of funding for hollongi Airport and expediting surveys","2018-07-20 10:51:27","TRUE","43","0","1","Transportation","Arunachal Pradesh","India",FALSE
"3","RT @KirenRijiju: I'm grateful to Arunachal Pradesh CM @PemaKhanduBJP ji for the clearance of Greenfield Airport near Itanagar which was pen","2018-07-20 08:36:30","TRUE","271","0","1","Transportation","Arunachal Pradesh","India",FALSE
"4","RT @KirenRijiju: I'm grateful to Arunachal Pradesh CM @PemaKhanduBJP ji for the clearance of Greenfield Airport near Itanagar which was pen","2018-07-19 15:16:41","TRUE","271","0","1","Transportation","Arunachal Pradesh","India",TRUE
"5","RT @KirenRijiju: I'm grateful to Arunachal Pradesh CM @PemaKhanduBJP ji for the clearance of Greenfield Airport near Itanagar which was pen","2018-07-19 13:36:06","TRUE","271","0","1","Transportation","Arunachal Pradesh","India",TRUE
"6","RT @PemaKhanduBJP: Always a pleasure meeting Shri @piyushgoyal ji. Discussed matter of funding for hollongi Airport and expediting surveys","2018-07-19 13:32:34","TRUE","43","0","1","Transportation","Arunachal Pradesh","India",TRUE
"7","RT @KirenRijiju: I'm grateful to Arunachal Pradesh CM @PemaKhanduBJP ji for the clearance of Greenfield Airport near Itanagar which was pen","2018-07-19 13:32:29","TRUE","271","0","1","Transportation","Arunachal Pradesh","India",TRUE
"8","RT @KirenRijiju: I'm grateful to Arunachal Pradesh CM @PemaKhanduBJP ji for the clearance of Greenfield Airport near Itanagar which was pen","2018-07-19 12:06:17","TRUE","271","0","1","Transportation","Arunachal Pradesh","India",TRUE
"9","RT @PemaKhanduBJP: Always a pleasure meeting Shri @piyushgoyal ji. Discussed matter of funding for hollongi Airport and expediting surveys","2018-07-19 11:01:13","TRUE","43","0","1","Transportation","Arunachal Pradesh","India",TRUE
"10","RT @KirenRijiju: I'm grateful to Arunachal Pradesh CM @PemaKhanduBJP ji for the clearance of Greenfield Airport near Itanagar which was pen","2018-07-19 09:38:19","TRUE","271","0","1","Transportation","Arunachal Pradesh","India",TRUE
"11","RT @PemaKhanduBJP: Always a pleasure meeting Shri @piyushgoyal ji. Discussed matter of funding for hollongi Airport and expediting surveys","2018-07-19 05:06:08","TRUE","43","0","1","Transportation","Arunachal Pradesh","India",TRUE
"12","RT @KirenRijiju: I'm grateful to Arunachal Pradesh CM @PemaKhanduBJP ji for the clearance of Greenfield Airport near Itanagar which was pen","2018-07-19 03:30:04","TRUE","271","0","1","Transportation","Arunachal Pradesh","India",TRUE
"13","RT @KirenRijiju: I'm grateful to Arunachal Pradesh CM @PemaKhanduBJP ji for the clearance of Greenfield Airport near Itanagar which was pen","2018-07-19 03:18:25","TRUE","271","0","1","Transportation","Arunachal Pradesh","India",TRUE
"14","RT @PemaKhanduBJP: Always a pleasure meeting Shri @piyushgoyal ji. Discussed matter of funding for hollongi Airport and expediting surveys","2018-07-19 01:22:21","TRUE","43","0","1","Transportation","Arunachal Pradesh","India",TRUE
"15","RT @KirenRijiju: I'm grateful to Arunachal Pradesh CM @PemaKhanduBJP ji for the clearance of Greenfield Airport near Itanagar which was pen","2018-07-18 18:20:45","TRUE","271","0","1","Transportation","Arunachal Pradesh","India",TRUE
