"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Assam Transport Recruitment 2018 - 53 Steno &amp; Assistant Apply By 4 Aug  ","2018-07-27 13:11:07","FALSE","0","0","0","Transportation","Assam","India",FALSE
"2","Barpeta District Transport Officer: High Charges Levied on Vehicles in Various Places of Pathsala, Assam
DTOStaff  ","2018-07-26 11:44:19","FALSE","0","1","0","Transportation","Assam","India",FALSE
"3","Assam Transport Recruitment 2018 | Apply for 53 Stenographer, Jr. Assistant &amp; Other Posts @  ","2018-07-26 09:25:07","FALSE","0","0","0","Transportation","Assam","India",FALSE
"4","@sarbanandsonwal @cmpatowary sir this is to bring to your kind notice the sorry plight of the Assam University stud  ","2018-07-26 07:50:38","FALSE","0","0","-2","Transportation","Assam","India",FALSE
"5","RT @srinivasiyc: Where was RPF? Why zero security in public transport?
BJP said India not the most dangerous country for women.
Then how di","2018-07-24 18:40:06","TRUE","316","0","-1","Transportation","Assam","India",FALSE
"6","Huge Traffic problem in Guwahati roads is effecting alot.Will anyone look into the same. Sarbananda Sonowal Sir  A  ","2018-07-24 13:19:25","FALSE","0","0","-1","Transportation","Assam","India",FALSE
"7"," ","2018-07-23 12:27:34","FALSE","0","0","0","Transportation","Assam","India",FALSE
"8","RT @sushmitadevmp: Sad to hear about a young girl losing her life on a train in Assam. Public transport must be safe for all. SIT must act","2018-07-23 08:03:18","TRUE","159","0","-1","Transportation","Assam","India",FALSE
"9","Commissionerate of Transport, Assam Recruitment 2018 || Junior Assistant/ Stenogrpaher / Computer &amp; Other Posts ||  ","2018-07-23 05:23:53","FALSE","0","0","0","Transportation","Assam","India",FALSE
"10","Due to 2days Assam Bandh from 23-24July, since its not safe to travel and transport remains closed. @IndiGo6E are n  ","2018-07-22 18:50:58","FALSE","0","0","1","Transportation","Assam","India",FALSE
"11","RT @srinivasiyc: Parents tell their children to use public transport but never would they have imagined that their daughter could be murder","2018-07-22 17:51:18","TRUE","126","0","-1","Transportation","Assam","India",FALSE
"12","RT @srinivasiyc: Where was RPF? Why zero security in public transport?
BJP said India not the most dangerous country for women.
Then how di","2018-07-22 17:51:16","TRUE","316","0","-1","Transportation","Assam","India",TRUE
"13","RT @Sanjaykm2006: Assam is set to get more comfortable and luxurious with the introduction of two new Volvo multi-axle buses, which will b","2018-07-22 15:59:56","TRUE","1","0","2","Transportation","Assam","India",FALSE
"14","Assam is set to get more comfortable and luxurious with the introduction of two new Volvo multi-axle buses, which  ","2018-07-22 15:59:34","FALSE","1","1","2","Transportation","Assam","India",FALSE
"15","Commissioner of Transport, Assam Recruitment 2018  53 Posts  ","2018-07-22 09:46:28","FALSE","0","0","0","Transportation","Assam","India",FALSE
"16","RT @NewsLiveGhy: FLASH | Transporters' strike enters second day affecting normal life with private transport vehicles, including long-dist","2018-07-21 17:27:45","TRUE","1","0","-1","Transportation","Assam","India",FALSE
"17","Job News : Commissionerate Of Transport, Assam Recruitment 2018:  ","2018-07-21 13:21:41","FALSE","0","0","0","Transportation","Assam","India",FALSE
"18","I added a video to a @YouTube playlist  ","2018-07-21 13:21:39","FALSE","0","0","0","Transportation","Assam","India",FALSE
"19","Commissionerate of Transport, Assam Recruitment 2018  Apply for 53 Post for 12th Pass &amp; GraduateCandidates  ","2018-07-21 10:46:00","FALSE","0","0","0","Transportation","Assam","India",FALSE
"20","PRATIDIN EXCLUSIVE | Inconveniences to commuters on day 2 of Motor Transport Congress strike inAssam
Assam Bandh  ","2018-07-21 09:03:41","FALSE","0","4","-1","Transportation","Assam","India",FALSE
"21","The Assam unit of the All India Motor Transport Congress (AIMTC) withdraws the indefinite strike due to NRC update  ","2018-07-21 07:32:39","FALSE","0","0","-1","Transportation","Assam","India",FALSE
"22","FLASH | Transporters' strike enters second day affecting normal life with private transport vehicles, including lo  ","2018-07-21 07:02:04","FALSE","1","4","-1","Transportation","Assam","India",FALSE
"23","I liked a @YouTube video  ","2018-07-21 04:12:55","FALSE","0","0","1","Transportation","Assam","India",FALSE
"24","Transport strike paralyzes normal life in Guwahati, stalls business  ","2018-07-21 04:12:24","FALSE","0","0","-2","Transportation","Assam","India",FALSE
"25","Commissionerate Of Transport, Assam Recruitment 2018 - [53 Posts]  ","2018-07-20 20:17:52","FALSE","0","0","0","Transportation","Assam","India",FALSE
"26","Assam Commissionerate of Transport vacancies-53 posts assamvacancy  ","2018-07-20 15:47:04","FALSE","0","0","0","Transportation","Assam","India",FALSE
"27","@Transport minister of Assam. Sir it is very much painful to travel city buses in Guwahati. Still we r bound to rid  ","2018-07-20 08:13:09","FALSE","0","0","-1","Transportation","Assam","India",FALSE
"28","Chakka bandh called by Motor Transport Union and 24-hour Assam bandh called by AKRSU paralyze normal life.  ","2018-07-20 07:07:57","FALSE","0","11","0","Transportation","Assam","India",FALSE
"29","RT @NewsLiveGhy: FLASH | Chakka bandh called by Motor Transport Union and 24-hour Assam bandh called by AKRSU paralyze normal life.  ","2018-07-20 06:33:15","TRUE","2","0","0","Transportation","Assam","India",FALSE
"30","RT @NewsLiveGhy: FLASH | Chakka bandh called by Motor Transport Union and 24-hour Assam bandh called by AKRSU paralyze normal life.  ","2018-07-20 06:30:18","TRUE","2","0","0","Transportation","Assam","India",TRUE
"31","FLASH | Chakka bandh called by Motor Transport Union and 24-hour Assam bandh called by AKRSU paralyze normal life.  ","2018-07-20 06:27:38","FALSE","2","1","0","Transportation","Assam","India",FALSE
"32","State Material Coordinator: Jio - Guwahati, Assam - Minimum 5 Years - Maximum 8 Years. Plan logistics,transport,tim  ","2018-07-20 05:56:05","FALSE","0","0","0","Transportation","Assam","India",FALSE
"33","AssamJobs Commissionerate of Transport, Assam Recruitment 2018 : Junior Assistant  ","2018-07-20 05:50:13","FALSE","0","2","0","Transportation","Assam","India",FALSE
"34","Indefinite transport strike cripples normal life in Guwahati  ","2018-07-20 04:29:50","FALSE","0","0","-2","Transportation","Assam","India",FALSE
"35","RT @srinivasiyc: Where was RPF? Why zero security in public transport?
BJP said India not the most dangerous country for women.
Then how di","2018-07-20 03:31:40","TRUE","316","0","-1","Transportation","Assam","India",TRUE
"36","RT @srinivasiyc: Where was RPF? Why zero security in public transport?
BJP said India not the most dangerous country for women.
Then how di","2018-07-20 02:42:27","TRUE","316","0","-1","Transportation","Assam","India",TRUE
"37","RT @anandips04: Friends this is public information system of State transport corporation Assam , pls share amongst friends 
Thanks  ","2018-07-20 02:17:35","TRUE","23","0","0","Transportation","Assam","India",FALSE
"38","RT @srinivasiyc: Parents tell their children to use public transport but never would they have imagined that their daughter could be murder","2018-07-19 15:56:26","TRUE","126","0","-1","Transportation","Assam","India",TRUE
"39","RT @srinivasiyc: Where was RPF? Why zero security in public transport?
BJP said India not the most dangerous country for women.
Then how di","2018-07-19 15:56:24","TRUE","316","0","-1","Transportation","Assam","India",TRUE
"40","RT @srinivasiyc: Where was RPF? Why zero security in public transport?
BJP said India not the most dangerous country for women.
Then how di","2018-07-19 13:17:34","TRUE","316","0","-1","Transportation","Assam","India",TRUE
"41","RT @annaverma: Lesson for every girl using public transport, stay alert , stay safe. @assam_police is sensitive to such matters and committ","2018-07-19 08:44:15","TRUE","4","0","2","Transportation","Assam","India",FALSE
"42","RT @annaverma: Lesson for every girl using public transport, stay alert , stay safe. @assam_police is sensitive to such matters and committ","2018-07-19 08:24:10","TRUE","4","0","2","Transportation","Assam","India",TRUE
"43","Lesson for every girl using public transport, stay alert , stay safe. @assam_police is sensitive to such matters an  ","2018-07-19 08:04:02","FALSE","4","7","2","Transportation","Assam","India",FALSE
"44","Assam State Transport Corporation service in Haflong in doldrums
ASTC
PoorService  ","2018-07-19 07:33:29","FALSE","0","1","0","Transportation","Assam","India",FALSE
"45","Transport Department Assam Recruitment For Junior Assistant, Inspector etc. Posts [Total 53Posts]  ","2018-07-19 06:23:59","FALSE","0","0","0","Transportation","Assam","India",FALSE
"46","RT @mohamma64508589: Half of the total traffic between Assam and Kolkata are shared by river transport and the remaining half is shared","2018-07-18 13:31:05","TRUE","11","0","0","Transportation","Assam","India",FALSE
