"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@tdptrending @mrperfect_ram @anandmahindra @ndtv @IndiaToday @nistula @sardesairajdeep @JayGalla @RamMNK @htTweets  ","2018-07-26 20:18:05","FALSE","0","0","0","Transportation","Assam","India",FALSE
"2","Government of Assam must clean the Bharalu River of Guwahati and convert it into a transportation medium for small  ","2018-07-25 03:07:46","FALSE","0","0","1","Transportation","Assam","India",FALSE
"3","@himantabiswa 1 Nation, 1 Tax....
But Tax Rate is : 3%, 5%, 12%, 18%, 28%...?
How HBS, Mr. Failure of Assam since 2  ","2018-07-24 18:01:28","FALSE","0","2","-1","Transportation","Assam","India",FALSE
"4","RT @GulzebAhmedINC: We strongly urge the Assam govt to investigate the rape and murder of two young women inside a train.
This incident hig","2018-07-23 08:48:46","TRUE","82","0","-2","Transportation","Assam","India",FALSE
"5","RT @srinivasiyc: 2 young women found murdered inside train toilets in Assam within 24 hours.
Has public transportation also become a crime","2018-07-22 17:51:22","TRUE","304","0","-1","Transportation","Assam","India",FALSE
"6","RT @nsui: If the govt of Assam can raise special Rhino Protection Force with nearly 100 men, then why cant the same govt raise an equal co","2018-07-22 13:32:20","TRUE","280","0","1","Transportation","Assam","India",FALSE
"7","RT @LegalKant: Only 3 of the Northeast state capitals - Assam (Guwahati), Tripura (Agartala) and Arunachal Pradesh (Itanagar) had rail conn","2018-07-20 16:14:37","TRUE","16","0","-1","Transportation","Assam","India",FALSE
"8","@cjwerleman These illegal Bangladeshi immigrants are involved in all sort of crimes- Grabing the land, theft, Rape,  ","2018-07-20 02:10:06","FALSE","0","0","-2","Transportation","Assam","India",FALSE
"9","RT @INCAssam: 2 young women found murdered inside train toilets in Assam within 24 hours.
Has public transportation also become a crime fie","2018-07-19 13:19:23","TRUE","140","0","-1","Transportation","Assam","India",FALSE
"10","RT @anmolkhurana8: Horror is what Indian women live with everyday. 2 murders in 24 hours inside train toilets! The govt of Assam should be","2018-07-19 13:19:07","TRUE","54","0","0","Transportation","Assam","India",FALSE
"11","RT @MonalisaIYC: If the govt of Assam can raise special Rhino Protection Force with nearly 100 men, then why cant the same govt raise an e","2018-07-19 06:25:41","TRUE","68","0","1","Transportation","Assam","India",FALSE
